ID\Language,ChineseTraditional,ChineseSimplified,English,Japanese,French,Explanation
1,玩家 vs 玩家,玩家 vs 玩家,Player vs Player,Player vs Player,Joueur vs Joueur,
2,玩家 vs 電腦,玩家 vs 电脑,Player vs CPU,Player vs CPU,Joueur vs IA,
3,電腦 vs 電腦,电脑 vs 电脑,CPU vs CPU,CPU vs CPU,IA vs IA,
4,回合數,回合数,Round,ラウンド,Round,
5,時間,时间,Time,タイム,Temps,
6,難度,难度,Difficulty,難易度,Difficulté,
7,非常簡單,非常简单,Very Easy,非常に易しい,Très facile,
8,簡單,简单,Easy,易しい,Facile,
9,普通,普通,Normal,普通,Normal,
10,困難,困难,Hard,難しい,Difficile,
11,非常困難,非常困难,Very Hard,非常に難しい,Très Difficile,
12,確定,确认,Confirm,確定,Confirmer,
13,隨機場地,随机场地,Random,ランダム,,
14,東方廟宇,东方庙宇,Eastern Temple,東洋の寺院,,
15,伊甸園,伊甸园,Garden of Eden,エデンの園,,
16,奧林帕斯,奥林帕斯,Olympus,オリンパス宮殿,,
17,雅典娜的殿堂,雅典娜的殿堂,Athena's Chamber,アテナの殿堂,,
18,格拉茲海姆,格拉兹海姆,Gladsheim,グラーツヘーム,,
19,阿斯卡之庭,阿斯卡之庭,Valley of Asgard,アースガルズ,,
20,法老王陵墓,法老王陵墓,Egyptian Tombs,ファラオの墓,,
21,天之岩戶,天之岩户,Amano Iwato,天岩屋戸,,
22,紅海,红海,The Red Sea,紅海,,
23,極樂之境,极乐之境,Elysium,極楽地,,
24,訓練房,训练房,Training Room,トレーニング・ルーム,,
25,黑暗深淵,黑暗深渊,Dark Abyss,暗黒の淵,,
26,返回遊戲,返回游戏,Resume,ゲームに戻る,Resume,
27,遊戲教學,游戏教学,TUTORIALS,チュートリアル,Tutoriels,
28,按,按,Press,押す,Appuyer,
29,返回,返回,Back,戻る,Retour,
30,控制設置,控制设置,Control Setting,操作設定,Gestion des contrôles,
31,回到角色選單,回到角色选单,Back to Character Select,キャラクター・メニューに戻る,Retour à la sélection de personnages,
32,回到主選單,回到主选单,Back to Main Menu,メイン・メニューに戻る,Retour au menu principal,
33,控制,控制,Controls,操作,Contrôles,
34,鍵盤,键盘,Keyboard,キーボード,Clavier,
35,控制器,控制器,Controller,ボタン,Manette,
36,上,上,Up,上,Haut,
37,下,下,Down,下,Bas,
38,左,左,Left,左,Gauche,
39,右,右,Right,右,Droite,
40,輕攻擊,轻攻击,Light,弱攻撃,Léger,
41,重攻擊,重攻击,Heavy,強攻撃,Lourd,
42,技能鍵,技能键,Skill,スキル,Compétence,
43,超級鍵,超级键,Super,スーパー,Super,
44,開始鍵,开始键,Start,スタート,Start,
