TargetLanguage,|,ESPAÑOL
Start,|,<I>COMENZAR<J>
Options,|,OPCIONES
AdjustTouchControls,|,AJUSTAR CONTROLES TÁCTILES
DragToAdjust,|,ARRASTRAR PARA AJUSTAR
ControlsVisibility,|,CONTROL DE SENSIBILIDAD
ScreenBorder,|,BORDE DE LA PANTALLA
ResetToDefault,|,VOLVER A LOS AJUSTES POR DEFECTO
AutoRun,|,CORRER AUTOMÁTICO
Controller,|,MANDO
ControllerFound,|,MANDO DETECTADO
NoControllerFound,|,NO SE HA ENCONTRADO UN MANDO*cr*crPULSA CUALQUIER BOTÓN EN EL MANDO PARA INTENTAR DETECTARLO
Difficulty,|,DIFICULTAD
ChangingDiffWarning,|,CAMBIAR LA DIFICULTAD HARÁ QUE VUELVAS A EMPEZAR LA FASE
Language,|,IDIOMA
LockScreenRotation,|,BLOQUEAR LA ROTACIÓN
Music,|,MÚSICA
SoundEffects,|,EFECTOS DE SONIDO
ShowStageTimer,|,MOSTRAR EL TEMPORIZADOR
DeleteSaveFile,|,REINICIAR LOS DATOS DEL JUEGO
DeleteSaveWarning,|,AL *quoREINICIAR*quo PERDERÁS TUS ARCHIVOS DE GUARDADO EN EL DISPOSITIVO Y EN EL ALMACENAMIENTO EN LA NUBE
DeleteSaveWarning2,|,¿DE VERDAD QUIERES REINICIAR EL PROGRESO?*cr*crESTE PASO NO SE PUEDE DESHACER
Reset,|,REINICIAR
Cancel,|,CANCELAR
DeleteSaveDone,|,RESETEAR DATOS DEL JUEGO
ResetAchs,|,¿RESTABLECER LOGROS?
Privacy,|,PRIVACIDAD
RewardedAds,|,ANUNCIOS CON RECOMPENSAS
CharSelectInfo,|,¡ATENCIÓN! TODOS LOS PERSONAJES TIENEN LAS MISMAS HABILIDADES*cr*cr¡NO TIENES QUE DESEMPACAR A ALGUNO EN CONCRETO PARA PASARTE EL JUEGO!
Unbox,|,DESEMPACAR
UnboxAndRemoveAds,|,DESEMPACAR + DESACTIVAR LOS ANUNCIOS*cr<M>+ OPCIÓN PARA DESACTIVAR LOS ANUNCIOS CON RECOMPENSAS*cr
UnboxSpecial1,|,DESEMPACAR A ESTE PERSONAJE TE DARÁ EL DOBLE DE MONEDAS AL DERROTAR ENEMIGOS Y VER ANUNCIOS CON RECOMPENSAS
UnboxSpecial2,|,DESEMPACAR A ESTE PERSONAJE HARÁ QUE LOS SIGUIENTES PERSONAJES QUE PUEDES DESEMPACAR CON MONEDAS DEL JUEGO CUESTEN LA MITAD
PurchaseFailed,|,NO SE HA COMPLETADO LA COMPRA
RemoveAds,|,¡QUITAR   LOS   ANUNCIOS!
RemoveAdsInfo,|,QUITAR LOS ANUNCIOS*cr*crQUITA LOS ANUNCIOS Y AÑADE LA OPCIÓN DE ELIMINAR LOS ANUNCIOS CON RECOMPENSAS
AdsRemoved,|,¡ANUNCIOS ELIMINADOS!*cr*crTAMBIÉN TIENES LA OPCIÓN DE DESACTIVAR O ACTIVAR LOS ANUNCIOS CON RECOMPENSAS EN EL MENÚ DE OPCIONES <L>*cr*cr¡¡MUCHÍSIMAS GRACIAS POR TU APOYO!!
RestorePurchases,|,RESTAURAR COMPRAS
Checking,|,COMPROBANDO…
RequestTimedOut,|,SE AGOTÓ EL TIEMPO DE ESPERA DE LA CONEXIÓN
RestoreFailed,|,NO HA SIDO POSIBLE CONECTARSE CON LA TIENDA
RestoreFound,|,¡RESTAURACIÓN COMPLETADA CON ÉXITO!
RestoreNoneFound,|,NO SE HAN ENCONTRADO COMPRAS PREVIAS
RestoreNoNew,|,YA SE HAN DESBLOQUEADO LAS COMPRAS PREVIAS
Collection,|,COLECCIÓN:
Random,|,AL AZAR
IncludeInRandom,|,INCLUIR EN LA ELECCIÓN AL AZAR
NotEnoughCoins,|,¡NECESITAS MÁS MONEDAS!
WatchAd,|,REPRODÚCELO PARA CONSEGUIR ~X~
WatchAdAlt,|,VER UN ANUNCIO
WatchAdError,|,ERROR AL REPRODUCIR EL ANUNCIO
AdSkipped,|,EL ANUNCIO NO SE TERMINÓ DE REPRODUCIR
NotSignedIn,|,NO HAS INICIADO SESIÓN
Credits,|,CRÉDITOS
SelectLevel,|,ELEGIR*crNIVEL
TuteON,|,TUTORIAL
Done(Exit),|,HECHO
Close,|,CERRAR
OK,|,OK
CreditsLine1,|,DISEÑO*comma PROGRAMACIÓN*comma GRÁFICOS*comma SONIDO Y MÚSICA
CreditsLine2,|,PRODUCTOR EJECUTIVO
CreditsLine3,|,MODELOS EN 3D ADICIONALES
CreditsLine4,|,EFECTOS DE SONIDO ADICIONALES
CreditsLine5,|,AGRADECIMIENTOS ESPECIALES
CreditsLine6,|,¡MUCHÍSIMAS GRACIAS A TODOS LOS TESTERS!
CreditsLine7,|,TRADUCCIONES
Contact,|,CONTACTO
Off,|,DESACTIVADO
UI - IN-GAME UI,|,
LevelXResult,|,RESULTADO FASE<X>
Level,|,FASE
Result,|,RESULTADO
Paused,|,PAUSA
Continue,|,CONTINUAR
Restart,|,REINICIAR
Quit,|,SALIR
QuitGame,|,¿SALIR DEL JUEGO?
HideMenu,|,OCULTAR MENÚ
ShowMenu,|,TOCA LA PANTALLA PARA MOSTRAR EL MENÚ
ShowMenu_Cont,|,PULSA CUALQUIER BOTÓN PARA MOSTRAR EL MENÚ
CombatTraining,|,ENTRENAMIENTO DE COMBATE
Punch,|,PUÑETAZO
Kick,|,PATADA
Duck(Low),|,AGACHARTE
,|,
PunchTip,|,TOCA AQUÍ PARA DAR*crUN <D>PUÑETAZO<E>
KickTip,|,TOCA AQUÍ PARA DAR*crUNA <D>PATADA<E>
DuckTip,|,TOCA AQUÍ PARA*cr<D>AGACHARTE<E>
SprintTip,|,CAMINAS AUTOMÁTICAMENTE*cr*crTOCA Y MANTÉN PRESIONADO EN CUALQUIER LUGAR PARA <D>CORRER<E>
SprintTipGamepad,|,CAMINAS AUTOMÁTICAMENTE*cr*crMANTÉN PULSADO CUALQUIER BOTÓN PARA <D>CORRER<E>
SprintTouchTip,|,<K>¡CONSEJO!<E>*crPUEDES ARRASTRAR EL DEDO A OTRO LUGAR MIENTRAS CORRES Y NO DEJARÁS DE <D>CORRER<E> EN NINGÚN MOMENTO
WalkTip,|,CORRES AUTOMÁTICAMENTE*cr*crTOCA Y MANTÉN PRESIONADO EN CUALQUIER LUGAR PARA <D>CAMINAR<E>
WalkTipGamepad,|,CORRES AUTOMÁTICAMENTE*cr*crMANTÉN PULSADO CUALQUIER BOTÓN PARA <D>CAMINAR<E>
PunchBeatsKick,|,<A>PUÑETAZO <B>LE GANA A<C> PATADA
KickBeatsDuck,|,<A>PATADA <B>LE GANA A<C> AGACHARTE
