TargetLanguage,|,ITALIANO
Start,|,<I>INIZIO<J>
Options,|,OPZIONI
AdjustTouchControls,|,AGGIUSTA I CONTROLLI TOUCH
DragToAdjust,|,TRASCINA PER AGGIUSTARE
ControlsVisibility,|,CONTROLLI VISIBILITÀ
ScreenBorder,|,BORDI SCHERMO
ResetToDefault,|,RIPRISTINA IMPOSTAZIONI INIZIALI
AutoRun,|,CORSA AUTOMATICA
Controller,|,GAMEPAD
ControllerFound,|,GAMEPAD RILEVATO
NoControllerFound,|,NESSUN GAMEPAD RILEVATO*cr*crPREMI QUALSIASI TASTO SUL GAMEPAD PER CONNETTERE
Difficulty,|,DIFFICOLTÀ
ChangingDiffWarning,|,CAMBIARE LA DIFFICOLTÀ RESETTERÀ IL LIVELLO
Language,|,LINGUA
LockScreenRotation,|,BLOCCA ROTAZIONE DELLO SCHERMO
Music,|,MUSICA
SoundEffects,|,EFFETTI SONORI
ShowStageTimer,|,MOSTRA TIMER PER LIVELLO
DeleteSaveFile,|,RESET DATI DI GIOCO
DeleteSaveWarning,|,SCEGLIERE 'RESET' CANCELLERÀ I TUOI SALVATAGGI SU QUESTO DISPOSITIVO E SUL CLOUD
DeleteSaveWarning2,|,CONFERMI DI VOLER RESETTARE I TUOI PROGRESSI?*cr*crQUESTA OPERAZIONE NON POTRÀ ESSERE ANNULLATA
Reset,|,RESET
Cancel,|,CANCELLA
DeleteSaveDone,|,DATI DI GIOCO CANCELLATI
ResetAchs,|,AZZERARE LE MEDAGLIE?
Privacy,|,PRIVACY
RewardedAds,|,ANNUNCI CON PREMIO
CharSelectInfo,|,NOTA! TUTTI I PERSONAGGI HANNO LE STESSE ABILITÀ*cr*crNON SERVE SBLOCCARE I PERSONAGGI PER VINCERE!
Unbox,|,SBLOCCA
UnboxAndRemoveAds,|,SBLOCCA + RIMUOVI ANNUNCI POP-UP*cr<M>+ OPZIONE PER DISABILITARE GLI ANNUNCI CON PREMIO
UnboxSpecial1,|,SBLOCCARE QUESTO PERSONAGGIO RADDOPPIA LE MONETE CHE RICEVI DAI NEMICI E DAGLI ANNUNCI CON PREMIO
UnboxSpecial2,|,SBLOCCARE QUESTO PERSONAGGIO DIMEZZA IL COSTO DI TUTTI I PERSONAGGI ACQUISTABILI CON LE MONETE DI GIOCO
PurchaseFailed,|,NESSUN ACQUISTO EFFETTUATO
RemoveAds,|,RIMUOVI   GLI   ANNUNCI!
RemoveAdsInfo,|,RIMUOVI GLI ANNUNCI*cr*crRIMUOVI GLI ANNUNCI POP-UP E AGGIUNGI L'OPZIONE PER DISATTIVARE GLI ANNUNCI CON PREMIO
AdsRemoved,|,ANNUNCI POP-UP RIMOSSI!*cr*crPUOI ANCHE SCEGLIERE DI DISATTIVARE O ATTIVARE GLI ANNUNCI CON PREMIO NEL MENU OPZIONI <L>*cr*crGRAZIE PER IL TUO SOSTEGNO!
RestorePurchases,|,RIPRISTINA GLI ACQUISTI
Checking,|,ATTENDERE...
RequestTimedOut,|,RICHIESTA SCADUTA
RestoreFailed,|,IMPOSSIBILE CONNETTERSI AL NEGOZIO
RestoreFound,|,RIPRISTINO EFFETTUATO!
RestoreNoneFound,|,NESSUN ACQUISTO PRECEDENTE TROVATO
RestoreNoNew,|,ACQUISTI PRECEDENTI GIÀ SBLOCCATI
Collection,|,COLLEZIONE:
Random,|,CASUALE
IncludeInRandom,|,INCLUDI IN CASUALE
NotEnoughCoins,|,SERVONO ALTRE MONETE!
WatchAd,|,GUARDA UN ANNUNCIO PER OTTENERE ~X~
WatchAdAlt,|,GUARDA UN ANNUNCIO
WatchAdError,|,ERRORE RIPRODUZIONE ANNUNCIO
AdSkipped,|,ANNUNCIO NON TERMINATO
NotSignedIn,|,DEVI ESEGUIRE IL LOGIN
Credits,|,CREDITS
SelectLevel,|,SELEZIONARE*crLIVELLO
TuteON,|,TUTORIAL
Done(Exit),|,FATTO
Close,|,CHIUDI
OK,|,OK
CreditsLine1,|,DESIGN*comma PROGRAMMAZIONE*comma GRAFICA*comma SUONO & MUSICA
CreditsLine2,|,PRODUTTORI ESECUTIVI
CreditsLine3,|,MODELLI 3D AGGIUNTIVI
CreditsLine4,|,EFFETTI SONORI AGGIUNTIVI
CreditsLine5,|,RINGRAZIAMENTI SPECIALI
CreditsLine6,|,UN ENORME GRAZIE AL TEAM DI TEST!
CreditsLine7,|,TRADUZIONI
Contact,|,CONTATTO
Off,|,DISATTIVATO
UI - IN-GAME UI,|,
LevelXResult,|,LIVELLO<X>RISULTATO
Level,|,LIVELLO
Result,|,RISULTATO
Paused,|,IN PAUSA
