TargetLanguage,|,日本語
Start,|,<I>スタート<J>
Options,|,オプション
AdjustTouchControls,|,タッチコントロール*crの調整
DragToAdjust,|,ドラッグで調整
ControlsVisibility,|,可視性の調整
ScreenBorder,|,ボーダー
ResetToDefault,|,デフォルトに戻す
AutoRun,|,オートスプリント
Controller,|,ゲームパッド
ControllerFound,|,ゲームパッドが検出されました
NoControllerFound,|,ゲームパッドが見つかりません*cr*crボタンをどれか押してゲームパッドの検出を試みます
Difficulty,|,難易度
ChangingDiffWarning,|,難易度を変更するとステージが再スタートします
Language,|,言語
LockScreenRotation,|,画面の回転*crをロック
Music,|,音楽
SoundEffects,|,効果音
ShowStageTimer,|,レベルタイマーを表示
DeleteSaveFile,|,ゲームデータ*crのリセット
DeleteSaveWarning,|,「リセット」を選択すると、このデバイスとクラウドに保存されているセーブデータが削除されます
DeleteSaveWarning2,|,進行状況をリセットしてもよろしいですか?*cr*crこれは、元に戻すことはできません
Reset,|,リセット
Cancel,|,キャンセル
DeleteSaveDone,|,ゲームデータリセット
ResetAchs,|,GAME CENTERの達成項目リセットしますか？
Privacy,|,プライバシー
RewardedAds,|,リワード広告
CharSelectInfo,|,メモ！すべてのキャラクターは同じ能力を持っています*cr*crゲームをクリアするためにキャラクターをアンボックスする必要はありません!
Unbox,|,解放
UnboxAndRemoveAds,|,開放+ ポップアップ広告の削除*cr<M>+ リワード広告を無効にするオプション
UnboxSpecial1,|,このキャラクターを開放すると、敵やリワード広告から獲得できるコインが 2 倍になります
UnboxSpecial2,|,このキャラクター開放すると、ゲーム内コインで開放した際にキャラクターのコストが半減します
PurchaseFailed,|,購入していません
RemoveAds,|,広告を消去する！
RemoveAdsInfo,|,広告の消去*cr*crポップアップ広告を削除し、リワード広告を無効にするオプションを追加
AdsRemoved,|,ポップアップ広告を消去しました*cr*crオプションメニューでリワード広告を無効または有効にすることもできます <L>*cr*crご協力ありがとうございます！！
RestorePurchases,|,購入の復元
Checking,|,確認中
RequestTimedOut,|,リクエストがタイムアウトしました
RestoreFailed,|,ストアに接続できません
RestoreFound,|,正常に復元されました!
RestoreNoneFound,|,購入履歴なし
RestoreNoNew,|,以前購入したコンテンツはすでにアンロックされてます
Collection,|,コレクション:
Random,|,ランダム
IncludeInRandom,|,ランダムに含める
NotEnoughCoins,|,コインが*cr足りません!
WatchAd,|, 広告を再生して ~X~ を入手
WatchAdAlt,|,広告を再生
WatchAdError,|,動画の読み込みに失敗しました
AdSkipped,|,広告は終了しませんでした
NotSignedIn,|,サインインしていません
Credits,|,クレジット
SelectLevel,|,レベル*crを選択
TuteON,|,チュートリアル
Done(Exit),|,終了
Close,|,閉じる
OK,|,決定
CreditsLine1,|,デザイン、プログラミング、グラフィックス、サウンドと音楽
CreditsLine2,|,製作責任者
CreditsLine3,|,追加３Dモデル
CreditsLine4,|,追加効果音
CreditsLine5,|,どうもありがとう
CreditsLine6,|,ゲームテスターの皆様も本当にありがとうございます！
CreditsLine7,|,翻訳
Contact,|,連絡先
Off,|,オフ
UI - IN-GAME UI,|,
LevelXResult,|,レベル<X>リザルト
Level,|,レベル
Result,|,リザルト
Paused,|,一時停止
Continue,|,続ける
Restart,|,リスタート
Quit,|,終了する
QuitGame,|,ゲームを終了しますか？
HideMenu,|,メニューを隠す
ShowMenu,|,画面をタップしてメニューを表示
ShowMenu_Cont,|,ボタンをどれか押してメニューを表示
CombatTraining,|,- 戦闘訓練 -
Punch,|,パンチ
Kick,|,キック
Duck(Low),|,ローキック
,|,
PunchTip,|,ここをタップすると*cr<D>パンチ
KickTip,|,ここをタップすると*cr<D>キック
DuckTip,|,ここをタップすると*cr<D>ローキック
SprintTip,|,自動で歩きます*cr*cr画面のどこでもタッチ&ホールドすると*cr<D>走ります<E>
SprintTipGamepad,|,自動で歩きます*cr*crどのボタンでも長押しすると*cr<D>走ります<E>
SprintTouchTip,|,<K>TIPS<E>*cr<D>走行<E>を中断することなく、タッチを別の場所にドラッグすることができます
WalkTip,|,自動で走ります*cr*cr画面のどこでもタッチ&ホールドすると*cr<D>歩きます<E>
WalkTipGamepad,|,自動で走ります*cr*crどのボタンでも長押しすると*cr<D>歩きます<E>
PunchBeatsKick,|,<A>パンチは<C>キックに<B>勝つ*cr
KickBeatsDuck,|,<A>キックは<C>ローキックに<B>勝つ
DuckBeatsPunch,|,<A>ローキックは<C>パンチに<B>勝つ
PunchAttackLeft,|, <E>左に<A>パンチ
KickAttackLeft,|, <E>左に<A>キック
DuckAttackLeft,|, <E>左に<A>ローキック
PunchAttackRight,|, <E>右に<A>パンチ
KickAttackRight,|, <E>右に<A>キック
DuckAttackRight,|, <E>右に<A>ローキック
ScoreNumTip,|,この数値は、現在のレベルのスコアを示しています
ScoreMultiTip,|,このカウンターは倒した敵から得られるポイント*crを表示しています*cr*cr敵に攻撃したり走ったりする*crとカウンターは増えます*cr*crそれ以外の場合カウンターは徐々に１へと戻ります
ScoreHeartTip,|,ハートはセカンドチャンスを与えてくれます*cr*crノックダウン状態のときに使われますが、*cr敵をいっぱい倒すとまたハート*crを得ることができます
ScoreCoinsTip,|,ときどき敵はコインを落とします*cr*crプレイヤーの合計コインはここに表示されます
ScoreOptionsTip,|,TIPS*cr*cr<HLG>オプションメニュー<EHL><L>で<HLY>難易度<EHL>の変更や*crタッチコントロールの調整ができます
LSandPTip,|,横向きでも縦向きでもプレイ可能
Next,|,次 >*cr
DemoPlay,|,- デモプレイ -
TapToExit,|,タップして終了
PressAnyButtonToExit,|,ボタンをどれか押して終了
BewareTheBear,|,熊に気をつけろ！！
NewScore,|,NEWスコア
BestScore,|,ハイスコア
NewBest,|,ハイスコア更新！
AllStagesTotal,|,全レベル合計スコア
AllStagesNewTotal,|,全レベル合計スコア更新！
TotalScore,|,合計スコア
NewTotal,|,合計スコア更新！
FinalScore,|,最終スコア
StageTime,|,レベルタイム
