TargetLanguage,|,PORTUGUÊS
Start,|,<I>COMEÇAR<I>
Options,|,OPÇÕES
AdjustTouchControls,|,AJUSTAR CONTROLES DE TOQUE
DragToAdjust,|,ARRASTE PARA AJUSTAR
ControlsVisibility,|,VISIBILIDADE DOS CONTROLES
ScreenBorder,|,BORDA DA TELA
ResetToDefault,|,REDEFINIR PARA O PADRÃO
AutoRun,|,AUTO CORRER
Controller,|,CONTROLE
ControllerFound,|,CONTROLE DETECTADO
NoControllerFound,|,NENHUM CONTROLE DETECTADO*cr*crPRESSIONE QUALQUER BOTÃO NO CONTROLE PARA TENTAR DETECTAR
Difficulty,|,DIFICULDADE
ChangingDiffWarning,|,TROCAR DE DIFICULDADE IRÁ REINICIAR A FASE
Language,|,IDIOMA
LockScreenRotation,|,TRAVA DE ROTAÇÃO DA TELA
Music,|,MÚSICA
SoundEffects,|,EFEITOS SONOROS
ShowStageTimer,|,MOSTRAR O TIMER DA FASE
DeleteSaveFile,|,REINICIAR DADOS DO JOGO
DeleteSaveWarning,|,ESCOLHER 'REINICIAR' IRÁ DELETAR SEUS DADOS SALVOS NESTE APARELHO E NA NUVEM
DeleteSaveWarning2,|,TEM CERTEZA DE QUE DESEJA REINICIAR SEU PROGRESSO?*cr*crISSO NÃO PODE SER REVERTIDO
Reset,|,REINICIAR
Cancel,|,CANCELAR
DeleteSaveDone,|,DADOS DE JOGO REINICIADOS
ResetAchs,|,REDEFINIR CONQUISTAS?
Privacy,|,PRIVACIDADE
RewardedAds,|,ANÚNCIOS COM RECOMPENSA
CharSelectInfo,|,ATENÇÃO! TODOS OS PERSONAGENS TEM AS MESMAS HABILIDADES*cr*crVOCÊ NÃO PRECISA TIRAR PERSONAGENS DAS CAIXAS PARA COMPLETAR O JOGO!
Unbox,|,DESEMPACOTAR
UnboxAndRemoveAds,|,DESEMPACOTAR + REMOVER ANÚNCIOS POP-UP*cr<M>+ OPÇÃO PARA DESABILITAR ANÚNCIOS COM RECOMPENSAS
UnboxSpecial1,|,DESEMPACOTAR ESTE PERSONAGEM IRÁ DUPLICAR O QUANTO DE MOEDAS VOCÊ GANHA DE INIMIGOS E DE ANÚNCIOS COM RECOMPENSAS
