TargetLanguage,|,繁體中文
Start,|,<I>開始<J>
Options,|,選項
AdjustTouchControls,|,調整觸摸控制
DragToAdjust,|,拖動即可調整
ControlsVisibility,|,控制可見性
ScreenBorder,|,屏幕邊框
ResetToDefault,|,重置為默認
AutoRun,|,自動跑
Controller,|,遊戲手柄
ControllerFound,|,檢測到遊戲手柄
NoControllerFound,|,未找到遊戲手柄*cr*cr按下遊戲手柄上的任何按鈕以嘗試檢測
Difficulty,|,難度
ChangingDiffWarning,|,改變難度將重啓階段
Language,|,語言
LockScreenRotation,|,鎖定屏幕旋轉
Music,|,音樂
SoundEffects,|,聲音效果
ShowStageTimer,|,顯示階段計時器
DeleteSaveFile,|,重置遊戲數據
DeleteSaveWarning,|,選擇*quo重置*quo將删除你在此設備和雲中的遊戲儲存
DeleteSaveWarning2,|,你確定要重置你的進度嗎？*cr*cr這不能被撤銷
Reset,|,重置
Cancel,|,取消
DeleteSaveDone,|,遊戲數據重置
ResetAchs,|,重置 GAME CENTER 成就？
Privacy,|,隱私
RewardedAds,|,獎勵廣告
CharSelectInfo,|,注意：所有角色都有相同的能力*cr*cr你不需要拆箱角色來打敗遊戲！
Unbox,|,拆箱
UnboxAndRemoveAds,|,拆箱+移除彈出廣告*cr<M>+解除獎勵廣告的選項
UnboxSpecial1,|,拆箱此角色會使你從敵人和獎勵廣告中獲得的硬幣數量翻倍
UnboxSpecial2,|,拆箱此角色將使所有可以使用遊戲內硬幣拆箱的角色的硬幣成本减半
PurchaseFailed,|,沒有購買
RemoveAds,|,去除廣告！
RemoveAdsInfo,|,移除廣告*cr*cr移除彈出廣告和新增解除獎勵廣告的選項
AdsRemoved,|,彈出廣告已移除！*cr*cr在選擇功能表中<L>你還可以選擇解除或者啟用獎勵廣告*cr*cr謝謝你的支持！！ 
RestorePurchases,|,恢復購買
Checking,|,正在檢查。。。
RequestTimedOut,|,請求超時
RestoreFailed,|,無法連接到商店
RestoreFound,|,恢復成功！
RestoreNoneFound,|,沒有找到以前的購買
RestoreNoNew,|,以前的購買已經解鎖
Collection,|,收藏：
Random,|,隨機
IncludeInRandom,|,包括在隨機中
NotEnoughCoins,|,需要更多硬幣！！
WatchAd,|,播放廣告來獲取~X~
WatchAdAlt,|,播放廣告
WatchAdError,|,播放廣告時出錯
AdSkipped,|,廣告未播放完畢
NotSignedIn,|,尚未登錄
Credits,|,製作人員
SelectLevel,|,選擇階段
TuteON,|,教程
Done(Exit),|,完成
Close,|,關閉
OK,|,好的
CreditsLine1,|,設計、程式設計、圖形、聲音&音樂
CreditsLine2,|,執行製作人
CreditsLine3,|,額外的3D模型
CreditsLine4,|,附加音效
CreditsLine5,|,特別感謝
CreditsLine6,|,非常感謝測試團隊！
CreditsLine7,|,翻譯
Contact,|,聯系
Off,|,關閉
UI - IN-GAME UI,|,
LevelXResult,|,階段<X>成績
Level,|,階段
Result,|,成績
Paused,|,暫停
Continue,|,繼續
Restart,|,再開始
Quit,|,退出
QuitGame,|,退出遊戲？
HideMenu,|,隱藏選單
ShowMenu,|,點擊屏幕以顯示菜單
ShowMenu_Cont,|,按任意鍵顯示選單
CombatTraining,|,- 搏擊訓練 -
Punch,|,拳打
Kick,|,脚踢
Duck(Low),|,蹲伏
,|,
PunchTip,|,點擊這裡做*cr<D>拳打<E>攻擊
KickTip,|,點擊這裡做*cr<D>脚踢<E>攻擊
DuckTip,|,點擊這裡做*cr<D>蹲伏<E>攻擊
SprintTip,|,走是自動的*cr*cr觸摸並按住任何地方即可<D>跑<E>
SprintTipGamepad,|,走是自動的*cr*cr按住任何按鈕*cr即可<D>跑<E>
SprintTouchTip,|,<K>提示！<E>*cr你可以在跑的時候，將你的觸摸拖到不同的位置而不會打斷你的<D>跑<E>
WalkTip,|,跑是自動的*cr*cr點擊並按住任何地方即可<D>走<E>
WalkTipGamepad,|,跑是自動的*cr*cr按住任何按鈕即可<D>走<E>
PunchBeatsKick,|,<A>拳打 <B>打敗<C> 脚踢
KickBeatsDuck,|,<A>脚踢 <B>打敗<C> 蹲伏
DuckBeatsPunch,|,<A>蹲伏 <B>打敗<C> 拳打
PunchAttackLeft,|,<A>拳打<E>攻擊左邊
KickAttackLeft,|,<A>脚踢<E>攻擊左邊
DuckAttackLeft,|,<A>蹲伏<E>攻擊左邊
PunchAttackRight,|,<A>拳打<E>攻擊右邊
KickAttackRight,|,<A>脚踢<E>攻擊右邊
DuckAttackRight,|,<A>蹲伏<E>攻擊右邊
ScoreNumTip,|,此數字顯示你當前階段的分數
ScoreMultiTip,|,此計數顯示你因打敗敵人而獲得多少分數*cr*cr通過擊中敵人或者跑來新增計數*cr*cr否則計數會慢慢地回落到1
ScoreHeartTip,|,心形給你第二次機會*cr*cr它會在你被擊倒時使用，而如果你擊敗足够多的敵人，*cr你可以再次獲得它
ScoreCoinsTip,|,有時敵人會掉落硬幣*cr*cr你的總硬幣顯示在這裡
ScoreOptionsTip,|,提示！*cr*cr你可以在<HLG>選項選單<EHL><L>中更改<HLY>難度<EHL>並調整觸摸控制
LSandPTip,|,可以橫屏和縱屏方向玩
Next,|,下一個 >
DemoPlay,|,- 演示播放 -
TapToExit,|,點擊退出
PressAnyButtonToExit,|,按任意按鈕退出
BewareTheBear,|,當心熊！！
NewScore,|,新分數
BestScore,|,最好分數
NewBest,|,新的最好！
AllStagesTotal,|,所有階段總計
AllStagesNewTotal,|,所有階段的新總計
TotalScore,|,總得分
NewTotal,|,新總計！！
FinalScore,|,最終分數
StageTime,|,階段時間
BestTime,|,最好時間
NewBestTime,|,新的最好時間
EnemiesOutrun,|,> 甩掉的敵人
OutrunBonus,|,+ 甩掉敵人的獎金
HeartBonus,|,+ 心形獎金
PlayStageAgain,|,再玩該階段
Share,|,分享
RateThisGame,|,為此遊戲評分
Rate,|,評價！
IScoredXOnStageY,|,在階段~Y~我得~X~分！
IDefeatedBaron,|,我打敗了泰格爵
FinalBattle,|,最後一戰
Revive,|,復活
Skip,|,跳過
Tip,|,- 提示 -
TryAgain,|,再試
TryAgainQ,|,再試?
Victory,|,勝利！
VictoryLine2,|,你打敗了泰格爵
WellDone,|,做得好！
PLAYER DIALOGUE,|,
KnockDownDoor,|,我需要通過這扇門
LetsGetOutOfHere,|,讓我們離開這裡
UhOh,|,哦哦
Bam!,|,砰！
Yes!,|,好！
MoreTrouble,|,更多麻煩！
AnotherCustomer,|,又一個客人
SeeYouLater,|,回頭見！
GoodNight,|,晚安！
OneHit,|,一擊！
GettingTheHangOfThis,|,我掌握這個了！
ThinkIGetIt,|,好吧，我想*cr我明白了
ImStrongerThanILook,|,我比看起來強壯多了！
