TargetLanguage,|,简体中文
Start,|,<I>开始<J>
Options,|,选项
AdjustTouchControls,|,调整触摸控制
DragToAdjust,|,拖动即可调整
ControlsVisibility,|,控制可见性
ScreenBorder,|,屏幕边框
ResetToDefault,|,重置为默认
AutoRun,|,自动跑
Controller,|,游戏手柄
ControllerFound,|,检测到游戏手柄
NoControllerFound,|,未找到游戏手柄*cr*cr按下游戏手柄上的任何按钮以尝试检测
Difficulty,|,难度
ChangingDiffWarning,|,改变难度将重启阶段
Language,|,语言
LockScreenRotation,|,锁定屏幕旋转
Music,|,音乐
SoundEffects,|,声音效果
ShowStageTimer,|,显示阶段计时器
DeleteSaveFile,|,重置游戏数据
DeleteSaveWarning,|,选择*quo重置*quo将删除你在此设备和云中的游戏储存
DeleteSaveWarning2,|,你确定要重置你的进度吗？*cr*cr这不能被撤消
Reset,|,重置
Cancel,|,取消
DeleteSaveDone,|,游戏数据重置
ResetAchs,|,重置 GAME CENTER 成就？
Privacy,|,隐私
RewardedAds,|,奖励广告
CharSelectInfo,|,注意：所有角色都有相同的能力*cr*cr你不需要拆箱角色来打败游戏！
Unbox,|,拆箱
UnboxAndRemoveAds,|,拆箱+移除弹出广告*cr<M>+解除奖励广告的选项
UnboxSpecial1,|,拆箱此角色会使你从敌人和奖励广告中获得的硬币数量翻倍
UnboxSpecial2,|,拆箱此角色将使所有可以使用游戏内硬币拆箱的角色的硬币成本减半
PurchaseFailed,|,没有购买
RemoveAds,|,去除广告！
RemoveAdsInfo,|,移除广告*cr*cr移除弹出广告和增加解除奖励广告的选项
AdsRemoved,|,弹出广告已移除！*cr*cr在选择菜单中<L>你还可以选择解除或者启用奖励广告*cr*cr谢谢你的支持！！
RestorePurchases,|,恢复购买
Checking,|,正在检查。。。
RequestTimedOut,|,请求超时
RestoreFailed,|,无法连接到商店
RestoreFound,|,恢复成功！
RestoreNoneFound,|,没有找到以前的购买
RestoreNoNew,|,以前的购买已经解锁
Collection,|,收藏：
Random,|,随机
IncludeInRandom,|,包括在随机中
NotEnoughCoins,|,需要更多硬币！！
WatchAd,|,播放广告来获取~X~
WatchAdAlt,|,播放广告
WatchAdError,|,播放广告时出错
AdSkipped,|,广告未播放完毕
NotSignedIn,|,尚未登录
Credits,|,制作人员
SelectLevel,|,选择阶段
TuteON,|,教程
Done(Exit),|,完成
Close,|,关闭
OK,|,好的
CreditsLine1,|,设计、编程、图形、声音&音乐
CreditsLine2,|,执行制作人
CreditsLine3,|,额外的 3D 模型
