TargetLanguage,|,DEUTSCH
Start,|,<I>START<J>
Options,|,OPTIONEN
AdjustTouchControls,|,TOUCH STEUERUNG ANPASSEN
DragToAdjust,|,ZIEHEN ZUM ANPASSEN
ControlsVisibility,|,STEUERUNGS SICHTBARKEIT
ScreenBorder,|,BILDSCHIRM RAND
ResetToDefault,|,AUF STANDARD ZURÜCKSETZEN
AutoRun,|,AUTOMATISCH RENNEN
Controller,|,GAMEPAD
ControllerFound,|,GAMEPAD ERKANNT
NoControllerFound,|,KEIN GAMEPAD ERKANNT*cr*crDRÜCKE EINE TASTE AUF DEINEM GAMEPAD UM IHN ZU ERKENNEN
Difficulty,|,SCHWIERIGKEITSGRAD
ChangingDiffWarning,|,DEN SCHWIERIGKEITSGRAD ZU ÄNDERN WIRD DEN LEVEL NEUSTARTEN
Language,|,SPRACHE
LockScreenRotation,|,BILDSCHIRM ROTATION SPERREN
Music,|,MUSIK
SoundEffects,|,SOUND EFFEKTE
ShowStageTimer,|,ZEIGE DEN LEVEL TIMER
DeleteSaveFile,|,SPIELDATEN ZURÜCKSETZEN
DeleteSaveWarning,|,WENN DU „ZURÜCKSETZEN*quo DRÜCKST WIRD DAS DEINEN SPIELSTAND AUF DIESEM GERÄT UND IN DER CLOUD LÖSCHEN
DeleteSaveWarning2,|,BIST DU SICHER DAS DU MIT DEM ZURÜCKSETZEN FORTFAHREN WILLST?*cr*crDAS KANN NICHT RÜCKGÄNGIG GEMACHT WERDEN
Reset,|,ZURÜCKSETZEN
Cancel,|,ABBRECHEN
DeleteSaveDone,|,SPIELDATEN WURDEN ZURÜCKGESETZT
ResetAchs,|,ERFOLGE ZURÜCKSETZEN?
Privacy,|,PRIVATSPHÄRE
RewardedAds,|,WERBUNG MIT BELOHNUNG
CharSelectInfo,|,WICHTIG! ALLE CHARAKTERE HABEN DIE GLEICHEN FÄHIGKEITEN*cr*crDU MUSST KEINE CHARAKTERE AUSPACKEN UM DAS SPIEL DURCHZUSPIELEN!
Unbox,|,AUSPACKEN
UnboxAndRemoveAds,|,AUSPACKEN + POP-UP WERBUNG ENTFERNEN*cr<M>+ OPTION UM WERBUNG MIT BELOHNUNG ZU DEAKTIVIEREN
UnboxSpecial1,|,DIESEN CHARAKTER AUSZUPACKEN WIRD DIE MÜNZEN DIE DU VON GEGNERN UND WERBUNG MIT BELOHNUNG ERHÄLTST VERDOPPELN
UnboxSpecial2,|,DIESEN CHARAKTER AUSZUPACKEN WIRD DIE MÜNZKOSTEN ALLER CHARAKTERE DIE DU MIT IN-GAME MÜNZEN AUSPACKEN KANNST HALBIEREN
PurchaseFailed,|,KEIN KAUF GETÄTIGT
RemoveAds,|,WERBUNG   ENTFERNEN!
RemoveAdsInfo,|,WERBUNG ENTFERNEN*cr*crENTFERNT POP-UP WERBUNG UND FÜGT DIE OPTION HINZU WERBUNG MIT BELOHNUNG ZU DEAKTIVIEREN*cr
AdsRemoved,|,POP-UP WERBUNG WURDE ENTFERNT!*cr*crDU KANNST WERBUNG MIT BELOHNUNG IN DEN OPTIONEN <L> WIEDER EIN- ODER AUSSCHALTEN*cr*crDANKE FÜR DEINE UNTERSTÜTZUNG!
RestorePurchases,|,KAUF WIEDERHERSTELLEN
Checking,|,PRÜFE…
RequestTimedOut,|,ANFRAGE ABGELAUFEN
RestoreFailed,|,KANN NICHT ZUM SHOP VERBINDEN
RestoreFound,|,WIEDERHERSTELLUNG ERFOLGREICH!
RestoreNoneFound,|,KEINE VORHERIGEN KÄUFE GEFUNDEN
RestoreNoNew,|,VORHERIGE KÄUFE WURDEN BEREITS FREIGESCHALTEN
Collection,|,SAMMLUNG:
Random,|,ZUFALL
IncludeInRandom,|,ZU ZUFALL HINZUFÜGEN
NotEnoughCoins,|,DU BRAUCHST MEHR MÜNZEN!!
WatchAd,|,WERBUNG ANSEHEN UM ~X~ ZU ERHALTEN
WatchAdAlt,|,WERBUNG ANSCHAUEN
WatchAdError,|,FEHLER BEIM ABSPIELEN DER WERBUNG
AdSkipped,|,WERBUNG NICHT BIS ZUM ENDE ANGESEHEN
NotSignedIn,|,NICHT EINGELOGGT
Credits,|,CREDITS
SelectLevel,|,LEVEL*crWÄHLEN
TuteON,|,TUTORIAL
Done(Exit),|,FERTIG
Close,|,SCHLESSEN
OK,|,OK
CreditsLine1,|,DESIGN*comma PROGRAMMING*comma GRAPHICS*comma SOUND & MUSIC
CreditsLine2,|,EXECUTIVE PRODUCER
CreditsLine3,|,ADDITIONAL 3D MODELS
CreditsLine4,|,ADDITIONAL SOUND EFFECTS
CreditsLine5,|,BESONDERER DANK
CreditsLine6,|,GROSSES DANKESCHÖN AN DIE TEST CREW
CreditsLine7,|,ÜBERSETZUNG
Contact,|,KONTAKT
Off,|,AUS
UI - IN-GAME UI,|,
LevelXResult,|,LEVEL<X>ERGEBNIS
Level,|,LEVEL
Result,|,ERGEBNIS
Paused,|,PAUSE
Continue,|,FORTFAHREN
Restart,|,NEUSTART
Quit,|,BEENDEN
QuitGame,|,SPIEL BEENDEN?
HideMenu,|,MENÜ AUSBLENDEN
ShowMenu,|,BILDSCHIRM ANTIPPEN UM MENÜ ANZUZEIGEN
ShowMenu_Cont,|,KNOPF DRÜCKEN UM MENÜ ANZUZEIGEN
CombatTraining,|,- KAMPF TRAINING -
Punch,|,SCHLAG
Kick,|,TRITT
Duck(Low),|,DUCKEN
,|,
PunchTip,|,TIPPE HIER UM EINEN <D>SCHLAG<E>*crANGRIFF AUSZUFÜHREN
KickTip,|,TIPPE HIER UM EINEN <D>TRITT<E>*crANGRIFF AUSZUFÜHREN
DuckTip,|,TIPPE HIER UM EINEN <D>DUCKEN<E>*crANGRIFF AUSZUFÜHREN
SprintTip,|,DU GEHST AUTOMATISCH*cr*crBERÜHRE DEN TOUCHSCREEN LANGE UM ZU <D>RENNEN<E>
