TargetLanguage,|,ENGLISH
Start,|,<I>START<J>
Options,|,OPTIONS
AdjustTouchControls,|,ADJUST TOUCH CONTROLS
DragToAdjust,|,DRAG TO ADJUST
ControlsVisibility,|,CONTROLS VISIBILITY
ScreenBorder,|,SCREEN BORDER
ResetToDefault,|,RESET TO DEFAULT
AutoRun,|,AUTO-RUN
Controller,|,GAMEPAD
ControllerFound,|,GAMEPAD DETECTED
NoControllerFound,|,NO GAMEPAD FOUND*cr*crPRESS ANY BUTTON ON GAMEPAD TO ATTEMPT DETECTION
Difficulty,|,DIFFICULTY
ChangingDiffWarning,|,CHANGING DIFFICULTY WILL RESTART STAGE
Language,|,LANGUAGE
LockScreenRotation,|,LOCK SCREEN ROTATION
Music,|,MUSIC
SoundEffects,|,SOUND EFFECTS
ShowStageTimer,|,SHOW LEVEL TIMER
DeleteSaveFile,|,RESET GAME DATA
DeleteSaveWarning,|,CHOOSING 'RESET' WILL DELETE YOUR GAME SAVE ON THIS DEVICE AND IN THE CLOUD
DeleteSaveWarning2,|,ARE YOU SURE YOU WANT TO RESET YOUR PROGRESS?*cr*crTHIS CANNOT BE UNDONE
Reset,|,RESET
Cancel,|,CANCEL
DeleteSaveDone,|,GAME DATA RESET
ResetAchs,|,RESET ACHIEVEMENTS?
Privacy,|,PRIVACY
RewardedAds,|,REWARDED ADS
CharSelectInfo,|,NOTE! ALL CHARACTERS HAVE THE SAME ABILITIES*cr*crYOU DON'T HAVE TO UNBOX CHARACTERS TO BEAT THE GAME!*cr*cr
Unbox,|,UNBOX
UnboxAndRemoveAds,|,UNBOX + REMOVE POP-UP ADS*cr<M>+ OPTION TO DISABLE REWARDED ADS
UnboxSpecial1,|,UNBOXING THIS CHARACTER WILL DOUBLE HOW MANY COINS YOU GET FROM FOES AND FROM REWARDED ADS
UnboxSpecial2,|,UNBOXING THIS CHARACTER WILL HALVE THE COST OF ALL CHARACTERS THAT CAN BE UNBOXED WITH IN-GAME COINS
PurchaseFailed,|,NO PURCHASE MADE
RemoveAds,|,REMOVE   ADS!
RemoveAdsInfo,|,REMOVE ADS*cr*crREMOVES POP-UP ADS AND ADDS OPTION TO DISABLE REWARDED ADS
AdsRemoved,|,POP-UP ADS REMOVED!*cr*crYOU CAN ALSO CHOOSE TO DISABLE OR ENABLE REWARDED ADS IN THE OPTIONS MENU <L>*cr*crTHANKS FOR YOUR SUPPORT!! 
RestorePurchases,|,RESTORE PURCHASES
Checking,|,CHECKING...
RequestTimedOut,|,REQUEST TIMED OUT
RestoreFailed,|,UNABLE TO CONNECT TO STORE
