TargetLanguage,|,FRANÇAIS
Start,|,<I>DÉBUT<J>
Options,|,OPTIONS
AdjustTouchControls,|,CHANGER LES CONTRÔLES
DragToAdjust,|,GLISSER POUR AJUSTER
ControlsVisibility,|,VISIBILITÉ CONTRÔLES
ScreenBorder,|,BORDURE ÉCRAN
ResetToDefault,|,RÉINITIALISER
AutoRun,|,COURSE AUTO
Controller,|,MANETTE
ControllerFound,|,MANETTE DÉTECTÉE
NoControllerFound,|,MANETTE NON TROUVÉE*cr*crAPPUYEZ SUR UN BOUTON POUR RÉESSAYER
Difficulty,|,DIFFICULTÉ
ChangingDiffWarning,|,CHANGER LA DIFFICULTÉ RÉINITIALISE LE NIVEAU
Language,|,LANGUE
LockScreenRotation,|,BLOQUER ROTATION ÉCRAN
Music,|,MUSIQUE
SoundEffects,|,EFFETS SONORES
ShowStageTimer,|,AFFICHER TIMER DU NIVEAU
DeleteSaveFile,|,RÉINITIALISER LES DONNÉES
DeleteSaveWarning,|,APPUYER SUR *quoRÉINITIALISER*quo RÉINITIALISERA TOUTES VOS DONNÉS DE JEU SUR CET APPAREIL ET DANS LE CLOUD
DeleteSaveWarning2,|,ÊTES-VOUS SÛR DE VOULOIR RÉINITIALISER VOTRE PROGRESSION ?*cr*crPAS DE RETOUR EN ARRIÈRE POSSIBLE
Reset,|,RÉINITIALISER
Cancel,|,ANNULER
DeleteSaveDone,|,DONNÉES EFFACÉES
ResetAchs,|,RÉINITIALISER LES RÉALISATIONS ?
Privacy,|,VIE PRIVÉE
RewardedAds,|,PUBS AUX RÉCOMPENSES
CharSelectInfo,|,NOTE ! TOUS LES PERSONNAGES ONT LES MÊMES CAPACITÉS*cr*crVOUS N'AVEZ PAS A TOUS LES LOOTER POUR GAGNER !
Unbox,|,LOOTER
UnboxAndRemoveAds,|,LOOTER + ENLEVER LES POP-UP DES PUBS*cr<M>+ OPTION POUR DÉSACTIVER LES PUBS AUX RÉCOMPENSES
UnboxSpecial1,|,LOOTER CE PERSONNAGE DOUBLERA LE MONTANT DE PIÈCES OBTENU AVEC LES ENNEMIS ET LES PUBS AUX RÉCOMPENSES
