TargetLanguage,|,BAHASA INDONESIA
Start,|,<I>MULAI<J>
Options,|,PILIHAN
AdjustTouchControls,|,SESUAIKAN KONTROL SENTUH
DragToAdjust,|,GESER UNTUK MENYESUAIKAN
ControlsVisibility,|,VISIBILITAS KONTROL
ScreenBorder,|,BINGKAI LAYAR
ResetToDefault,|,RESET KE DEFAULT
AutoRun,|,LARI OTOMATIS
Controller,|,GAMEPAD
ControllerFound,|,GAMEPAD TERDETEKSI
NoControllerFound,|,TIDAK ADA GAMEPAD DITEMUKAN*cr*crTEKAN TOMBOL APA PUN DI GAMEPAD UNTUK MENDETEKSI
Difficulty,|,KESULITAN
ChangingDiffWarning,|,MENGUBAH KESULITAN AKAN MENGULANG TAHAP
Language,|,BAHASA
LockScreenRotation,|,ROTASI KUNCI LAYAR
Music,|,MUSIK
SoundEffects,|,EFEK SUARA
ShowStageTimer,|,TUNJUKKAN PENGATUR WAKTU TINGKAT
DeleteSaveFile,|,RESET DATA PERMAINAN
DeleteSaveWarning,|,MEMILIH 'RESET' AKAN MENGHAPUS PENYIMPANAN PERMAINANMU DI PERANGKAT INI DAN DI CLOUD
DeleteSaveWarning2,|,APAKAH KAMU YAKIN KAMU INGIN MERESET KEMAJUANMU?*cr*crINI TIDAK BISA DIBATALKAN
Reset,|,RESET
Cancel,|,BATALKAN
DeleteSaveDone,|,RESET DATA PERMAINAN
ResetAchs,|,RESET PENCAPAIAN?
Privacy,|,PRIVASI
RewardedAds,|,IKLAN BERHADIAH
CharSelectInfo,|,INGAT! SEMUA KARAKTER MEMILIKI KEMAMPUAN YANG SAMA*cr*crKAMU TIDAK HARUS MEMBUKA KARAKTER UNTUK MENYELESAIKAN PERMAINAN!
Unbox,|,BUKA
UnboxAndRemoveAds,|,BUKA + HILANGKAN IKLAN POP-UP*cr<M>+ PILIHAN UNTUK MEMATIKAN IKLAN BERHADIAH
UnboxSpecial1,|,MEMBUKA KARAKTER INI AKAN MENGGANDAKAN BERAPA BANYAK KOIN YANG KAMU DAPATKAN DARI MUSUH DAN DARI IKLAN BERHADIAH
UnboxSpecial2,|,MEMBUKA KARAKTER INI AKAN MEMOTONG SETENGAH BIAYA DARI SEMUA KARAKTER YANG BISA DIBUKA DENGAN KOIN DALAM PERMAINAN
PurchaseFailed,|,TIDAK ADA PEMBELIAN YANG DILAKUKAN
RemoveAds,|,HAPUS IKLAN!
RemoveAdsInfo,|,HAPUS IKLAN*cr*crMENGHAPUS IKLAN POP-UP DAN MENAMBAHKAN OPSI UNTUK MEMATIKAN IKLAN BERHADIAH
AdsRemoved,|,IKLAN POP-UP DIHAPUS!*cr*crKAMU JUGA BISA MEMILIH UNTUK MEMATIKAN ATAU MENYALAKAN IKLAN BERHADIAH DI MENU PILIHAN <L>*cr*crTERIMA KASIH ATAS DUKUNGANMU!!
RestorePurchases,|,KEMBALIKAN PEMBELIAN
Checking,|,MEMERIKSA…
RequestTimedOut,|,WAKTU PERMINTAAN HABIS
RestoreFailed,|,TIDAK BISA TERHUBUNG KE TOKO
RestoreFound,|,PENGEMBALIAN BERHASIL!
RestoreNoneFound,|,TIDAK ADA PEMBELIAN SEBELUMNYA YANG DITEMUKAN
RestoreNoNew,|,PEMBELIAN SEBELUMNYA SUDAH TERBUKA
Collection,|,KOLEKSI:
Random,|,ACAK
IncludeInRandom,|,SERTAKAN DI ACAK
NotEnoughCoins,|,PERLU LEBIH BANYAK KOIN!!
WatchAd,|,MAINKAN IKLAN UNTUK MENDAPATKAN ~X~
WatchAdAlt,|,MAINKAN IKLAN
WatchAdError,|,ERROR MEMAINKAN IKLAN
AdSkipped,|,IKLAN TIDAK SELESAI
NotSignedIn,|,TIDAK MASUK
Credits,|,KREDIT
SelectLevel,|,PILIH*crTINGKAT
TuteON,|,TUTORIAL
Done(Exit),|,SELESAI
Close,|,TUTUP
OK,|,OKE
CreditsLine1,|,DESAIN*comma PEMROGRAMAN*comma GRAFIK*comma SUARA & MUSIK
CreditsLine2,|,PRODUSER EKSEKUTIF
CreditsLine3,|,MODEL 3D TAMBAHAN
CreditsLine4,|,EFEK SUARA TAMBAHAN
CreditsLine5,|,TERIMA KASIH KHUSUS
CreditsLine6,|,TERIMA KASIH BANYAK UNTUK KRU PENGUJIAN!
CreditsLine7,|,TERJEMAHAN
Contact,|,KONTAK
Off,|,MATI
UI - IN-GAME UI,|,
LevelXResult,|,TINGKAT<X>HASIL
Level,|,TINGKAT
Result,|,HASIL
Paused,|,DIJEDA
Continue,|,LANJUTKAN
Restart,|,ULANG
Quit,|,KELUAR
QuitGame,|,KELUAR PERMAINAN?
HideMenu,|,SEMBUNYIKAN MENU
ShowMenu,|,KETUK LAYAR UNTUK MENUNJUKKAN MENU
ShowMenu_Cont,|,TEKAN TOMBOL APA PUN UNTUK MENUNJUKKAN MENU
CombatTraining,|,- PELATIHAN TEMPUR -
Punch,|,TINJU
Kick,|,TENDANG
Duck(Low),|,MENGHINDAR
,|,
PunchTip,|,KETUK DI SINI UNTUK MELAKUKAN*crSERANGAN <D>TINJU<E>
KickTip,|,KETUK DI SINI UNTUK MELAKUKAN*crSERANGAN <D>TENDANG<E>
DuckTip,|,KETUK DI SINI UNTUK MELAKUKAN*crSERANGAN <D>MENGHINDAR<E>
SprintTip,|,BERJALAN ADALAH OTOMATIS*cr*crSENTUH DAN TEKAN DI MANA SAJA UNTUK <D>BERLARI<E>
SprintTipGamepad,|,BERJALAN ADALAH OTOMATIS*cr*crSENTUH DAN TEKAN UNTUK <D>BERLARI<E>
SprintTouchTip,|,<K>TIP!<E>*crKAMU BISA MENGGESER SENTUHANMU KE TITIK BERBEDA SAAT BERLARI TANPA BERHENTI <D>LARI<E>
WalkTip,|,LARI ADALAH OTOMATIS*cr*crSENTUH DAN TAHAN DI MANA SAJA UNTUK <D>BERJALAN<E>
WalkTipGamepad,|,LARI ADALAH OTOMATIS*cr*crSENTUH DAN TAHAN UNTUK <D>BERJALAN<E>
PunchBeatsKick,|,<A>TINJU <B>MENGALAHKAN<C> TENDANG
KickBeatsDuck,|,<A>TENDANG <B>MENGALAHKAN<C> MENGHINDAR
DuckBeatsPunch,|,<A>MENGHINDAR <B>MENGALAHKAN<C> TINJU
PunchAttackLeft,|,SERANGAN <A>TINJU <E>KIRI
KickAttackLeft,|,SERANGAN <A>TENDANG <E>KIRI
DuckAttackLeft,|,SERANGAN <A>MENGHINDAR <E>KIRI
PunchAttackRight,|,SERANGAN <A>TINJU <E>KANAN
KickAttackRight,|,SERANGAN <A>TENDANG <E>KANAN
DuckAttackRight,|,SERANGAN <A>MENGHINDAR <E>KANAN
ScoreNumTip,|,ANGKA INI MENUNJUKKAN SKORMU UNTUK TINGKAT SAAT INI
ScoreMultiTip,|,PENGHITUNG INI MENUNJUKKAN BERAPA*crPOIN YANG KAMU DAPATKAN KARENA*crMENGALAHKAN MUSUH*cr*crTINGKATKAN PENGHITUNG DENGAN*crMENGALAHKAN MUSUH ATAU LARI*cr*crKALAU TIDAK PENGHITUNG*crAKAN PERLAHAN KEMBALI KE 1
ScoreHeartTip,|,HATI MEMBERIMU KESEMPATAN KEDUA*cr*crDIGUNAKAN SAAT KAMU TERJATUH TETAPI*crKAMU BISA MENDAPATKANNYA LAGI KALAU*crKAMU MENGALAHKAN CUKUP MUSUH
ScoreCoinsTip,|,TERKADANG MUSUH MENJATUHKAN KOIN*cr*crTOTAL KOINMU DITUNJUKKAN DI SINI
ScoreOptionsTip,|,TIP!*cr*crKAMU BISA MENGUBAH <HLY>KESULITAN<EHL>*crDAN SESUAIKAN KONTROL SENTUH*crDI <HLG>MENU PILIHAN<EHL> <L>
LSandPTip,|,BISA DIMAINKAN DI ORIENTASI LANDSCAPE DAN PORTRAIT
Next,|,BERIKUTNYA >
DemoPlay,|,- PERMAINAN DEMO -
TapToExit,|,KETUK UNTUK KELUAR
PressAnyButtonToExit,|,TEKAN TOMBOL APA PUN UNTUK KELUAR
BewareTheBear,|,HATI-HATI DENGAN BERUANG!!
NewScore,|,SKOR BARU
BestScore,|,SKOR TERBAIK
NewBest,|,TERBAIK BARU!
AllStagesTotal,|,TOTAL SEMUA TINGKAT
