TargetLanguage,|,한국어
Start,|,<I>시작<J>
Options,|,옵션
AdjustTouchControls,|,터치 컨트롤 조절
DragToAdjust,|,드래그해서 조절
ControlsVisibility,|,컨트롤 투명도
ScreenBorder,|,스크린 테두리
ResetToDefault,|,초기화하기
AutoRun,|,자동 달리기
Controller,|,게임패드
ControllerFound,|,게임패드 발견됨
NoControllerFound,|,발견된 게임패드 없음*cr*cr게임패드의 아무 버튼을 눌러 찾기 시도
Difficulty,|,난이도
ChangingDiffWarning,|,난이도를 변경하면 현재 레벨의 처음으로 돌아갑니다
Language,|,언어
LockScreenRotation,|,잠금 화면 돌리기
Music,|,음악
SoundEffects,|,음향 효과
ShowStageTimer,|,레벨 타이머 보이기
DeleteSaveFile,|,게임 데이터 초기화
DeleteSaveWarning,|,'초기화'를 선택하면 이 장치와 클라우드에 저장된 게임이 지워질 것입니다
DeleteSaveWarning2,|,정말 초기화 하시겠습니까?*cr*cr취소할 수 없습니다
Reset,|,초기화
Cancel,|,취소
DeleteSaveDone,|,게임 데이터 초기화
ResetAchs,|,GAME CENTER 목표를 초기화하시겠습니까?
Privacy,|,개인정보보호
RewardedAds,|,보상형 광고
CharSelectInfo,|,알림! 모든 캐릭터는 같은 능력을 가집니다*cr*cr게임에서 이기기 위해 캐릭터들을 언박싱할 필요는 없습니다
Unbox,|,언박싱
UnboxAndRemoveAds,|,언박싱 + 팝업 광고 제거*cr<M>+ 보상형 광고 비활성화 옵션
UnboxSpecial1,|,이 캐릭터를 언박싱하면 보상형 광고와 적들로부터 받은 코인이 그 수에 상관없이 두 배가 됩니다. 
UnboxSpecial2,|,이 캐릭터를 언박싱하면 게임 안에서 받은 코인으로 언박싱할 수 있는 모든 캐릭터들의 가격이 반으로 내려갑니다.
PurchaseFailed,|,구입 항목 없음
RemoveAds,|,광고 제거!
RemoveAdsInfo,|,광고 제거*cr*cr팝업 광고 제거와 보상형 광고 비활성화 옵션
AdsRemoved,|,팝업 광고가 제거되었습니다!*cr*cr또한 메뉴에서 옵션을 <L> 눌러 보상형 광고를 활성화 혹은 비활성화할 수 있습니다.*cr*cr지원해주셔서 감사합니다!
RestorePurchases,|,구입 항목 복구 
Checking,|,확인 중…
RequestTimedOut,|,제한 시간 만료
RestoreFailed,|,스토어에 연결할 수 없습니다
RestoreFound,|,복구 성공!
RestoreNoneFound,|,이전 구입 항목을 찾을 수 없습니다. 
RestoreNoNew,|,이전 구입 항목이 이미 잠금해제되었습니다. 
Collection,|,콜렉션:
Random,|,랜덤
IncludeInRandom,|,랜덤에 포함
NotEnoughCoins,|,더 많은 코인이*cr필요해요!
WatchAd,|,광고 보고 획득하기 ~X~
WatchAdAlt,|,광고 보기
WatchAdError,|,광고 재생에 오류가 발생했습니다
AdSkipped,|,광고가 끝나지 않았습니다
NotSignedIn,|,로그인 해주세요
Credits,|,크레딧
SelectLevel,|,레벨 선택
TuteON,|,튜토리얼
Done(Exit),|,나가기
Close,|,닫기
OK,|,예
CreditsLine1,|,디자인*comma 프로그래밍*comma 그래픽*comma 음향 & 음악
CreditsLine2,|,책임 프로듀서
CreditsLine3,|,그 외 3D 모델
CreditsLine4,|,그 외 음향
CreditsLine5,|,특별 감사
CreditsLine6,|,테스팅 크루에 큰 감사를 드립니다!
CreditsLine7,|,번역
Contact,|,사이트
Off,|,종료
UI - IN-GAME UI,|,
