TargetLanguage,|,РУССКИЙ
Start,|,<I>СТАРТ<J>
Options,|,ОПЦИИ
AdjustTouchControls,|,НАСТРОЙКА СЕНСОРНОГО УПРАВЛЕНИЯ
DragToAdjust,|,ПЕРЕТАЩИТЕ*comma ЧТОБЫ НАСТРОИТЬ
ControlsVisibility,|,УПРАВЛЯЕТ ВИДИМОСТЬЮ
ScreenBorder,|,ГРАНИЦЫ ЭКРАНА
ResetToDefault,|,СБРОС К ЗНАЧЕНИЮ ПО УМОЛЧАНИЮ
AutoRun,|,АВТО-БЕГ
Controller,|,ГЕЙМПАД
ControllerFound,|,ГЕЙМПАД ОБНАРУЖЕН
NoControllerFound,|,ГЕЙМПАД НЕ НАЙДЕН*cr*crНАЖМИТЕ ЛЮБУЮ КНОПКУ НА ГЕЙМПАДЕ*comma ЧТОБЫ СИСТЕМА ЕГО ОБНАРУЖИЛА
Difficulty,|,СЛОЖНОСТЬ
ChangingDiffWarning,|,ИЗМЕНЕНИЕ СЛОЖНОСТИ ПРИВЕДЕТ К ПЕРЕЗАПУСКУ ЭТАПА
Language,|,ЯЗЫК
LockScreenRotation,|,БЛОКИРОВКА ПОВОРОТА ЭКРАНА
Music,|,МУЗЫКА
SoundEffects,|,ЗВУКОВЫЕ ЭФФЕКТЫ
ShowStageTimer,|,ПОКАЗАТЬ ТАЙМЕР УРОВНЯ
DeleteSaveFile,|,СБРОС ИГРОВЫХ ДАННЫХ
DeleteSaveWarning,|,*quoСБРОС*quo ПРИВЕДЕТ К УДАЛЕНИЮ СОХРАНЕНИЯ ИГРЫ НА ЭТОМ УСТРОЙСТВЕ И В ОБЛАКЕ
DeleteSaveWarning2,|,ВЫ УВЕРЕНЫ*comma ЧТО ХОТИТЕ СБРОСИТЬ СВОЙ ПРОГРЕСС?*cr*crЭТО НЕ МОЖЕТ БЫТЬ ОТМЕНЕНО
Reset,|,СБРОС
Cancel,|,ОТМЕНА
DeleteSaveDone,|,СБРОС ИГРОВЫХ ДАННЫХ
ResetAchs,|,СБРОСИТЬ ДОСТИЖЕНИЯ?
Privacy,|,КОНФИДЕНЦИАЛЬНОСТЬ
RewardedAds,|,РЕКЛАМА С ВОЗНАГРАЖДЕНИЕМ
CharSelectInfo,|,ОБРАТИТЕ ВНИМАНИЕ! ВСЕ ПЕРСОНАЖИ ОБЛАДАЮТ ОДИНАКОВЫМИ СПОСОБНОСТЯМИ*cr*crВАМ НЕ НУЖНО РАСПАКОВЫВАТЬ ПЕРСОНАЖЕЙ*comma ЧТОБЫ ПРОЙТИ ИГРУ!*cr*cr
Unbox,|,РАСПАКОВАТЬ
UnboxAndRemoveAds,|,РАСПАКОВАТЬ + УБРАТЬ ВСПЛЫВАЮЩИЕ ОКНА*cr<M>+ ВОЗМОЖНОСТЬ ОТКЛЮЧИТЬ РЕКЛАМУ С ВОЗНАГРАЖДЕНИЕМ
UnboxSpecial1,|,РАСПАКОВКА ЭТОГО ПЕРСОНАЖА УДВОИТ КОЛИЧЕСТВО МОНЕТ*comma КОТОРЫЕ ВЫ ПОЛУЧИТЕ ОТ ВРАГОВ И ОТ РЕКЛАМЫ С ВОЗНАГРАЖДЕНИЕМ
UnboxSpecial2,|,РАСПАКОВКА ЭТОГО ПЕРСОНАЖА УМЕНЬШИТ ВДВОЕ СТОИМОСТЬ ВСЕХ ПЕРСОНАЖЕЙ*comma КОТОРЫЕ МОГУТ БЫТЬ РАСПАКОВАНЫ С ПОМОЩЬЮ ВНУТРИИГРОВЫХ МОНЕТ.
PurchaseFailed,|,ПОКУПКА НЕ СОВЕРШЕНА
RemoveAds,|,УБРАТЬ   РЕКЛАМУ!
RemoveAdsInfo,|,УБРАТЬ РЕКЛАМУ*cr*crУДАЛЯЕТ ВСПЛЫВАЮЩИЕ ОКНА И ДОБАВЛЯЕТ ВОЗМОЖНОСТЬ ОТКЛЮЧЕНИЯ РЕКЛАМЫ С ВОЗНАГРАЖДЕНИЕМ
AdsRemoved,|,ВСПЛЫВАЮЩИЕ ОКНА УДАЛЕНЫ!*cr*crВЫ ТАКЖЕ МОЖЕТЕ ОТКЛЮЧИТЬ ИЛИ ВКЛЮЧИТЬ РЕКЛАМУ С ВОЗНАГРАЖДЕНИЕМ В МЕНЮ ОПЦИЙ <L>*cr*crСПАСИБО ЗА ВАШУ ПОДДЕРЖКУ!! 
RestorePurchases,|,ВОССТАНОВЛЕНИЕ ПОКУПОК
Checking,|,ПРОВЕРКА...
RequestTimedOut,|,ВРЕМЯ ОЖИДАНИЯ ЗАПРОСА ИСТЕКЛО
RestoreFailed,|,НЕ УДАЕТСЯ ПОДКЛЮЧИТЬСЯ К ХРАНИЛИЩУ
RestoreFound,|,ВОССТАНОВЛЕНИЕ ПРОШЛО УСПЕШНО!
RestoreNoneFound,|,ПРЕДЫДУЩИХ ПОКУПОК НЕ НАЙДЕНО
RestoreNoNew,|,ПРЕДЫДУЩИЕ ПОКУПКИ УЖЕ РАЗБЛОКИРОВАНЫ
Collection,|,КОЛЛЕКЦИЯ:
Random,|,СЛУЧАЙНЫЙ ВЫБОР
IncludeInRandom,|,ДОБАВИТЬ В СЛУЧАЙНЫЙ ВЫБОР
NotEnoughCoins,|,НУЖНО БОЛЬШЕ МОНЕТ!!
WatchAd,|,ПРОСМОТРИТЕ РЕКЛАМУ*comma ЧТОБЫ ПОЛУЧИТЬ ~X~
WatchAdAlt,|,ПРОСМОТРИТЕ РЕКЛАМУ
WatchAdError,|,ОШИБКА ПРИ ВОСПРОИЗВЕДЕНИИ РЕКЛАМЫ
AdSkipped,|,РЕКЛАМА НЕ ЗАКОНЧИЛАСЬ
NotSignedIn,|,НЕ АВТОРИЗОВАНЫ
Credits,|,ТИТРЫ
SelectLevel,|,ВЫБРАТЬ*crУРОВЕНЬ
TuteON,|,РУКОВОДСТВО
Done(Exit),|,ГОТОВО
Close,|,ЗАКРЫТЬ
OK,|,ОК
CreditsLine1,|,ДИЗАЙН*comma ПРОГРАММИРОВАНИЕ*comma ГРАФИКА*comma ЗВУК И МУЗЫКА
CreditsLine2,|,ИСПОЛНИТЕЛЬНЫЙ ПРОДЮСЕР
CreditsLine3,|,ДОПОЛНИТЕЛЬНЫЕ 3D-МОДЕЛИ
CreditsLine4,|,ДОПОЛНИТЕЛЬНЫЕ ЗВУКОВЫЕ ЭФФЕКТЫ
CreditsLine5,|,ОСОБАЯ БЛАГОДАРНОСТЬ
CreditsLine6,|,БОЛЬШОЕ СПАСИБО КОМАНДЕ ТЕСТИРОВЩИКОВ!
CreditsLine7,|,ПЕРЕВОД
Contact,|,СВЯЗАТЬСЯ
