TargetLanguage,|,TÜRKÇE
Start,|,<I>BAŞLA<J>
Options,|,SEÇENEKLER
AdjustTouchControls,|,DOKUNMATİK KONTROLLERİNİ AYARLA
DragToAdjust,|,AYARLAMAK İÇİN SÜRÜKLE
ControlsVisibility,|,GÖRÜNÜRLÜĞÜ KONTROLLERİ
ScreenBorder,|,EKRAN SINIRI
ResetToDefault,|,VARSAYILANA AYARLA
AutoRun,|,OTOMATİK KOŞMA
Controller,|,OYUN KOLU
ControllerFound,|,OYUN KOLU ALGILANDI
NoControllerFound,|,OYUN KOLU BULUNAMADI*cr*crALGILAMAK İÇİN OYUN KOLUNDA HERHANGİ BİR TUŞA BAS
Difficulty,|,ZORLUK SEVİYESİ
ChangingDiffWarning,|,ZORLUĞU DEĞİŞTİRMEK AŞAMAYI TEKRAR BAŞLATIR
Language,|,DİL
LockScreenRotation,|,EKRAN DÖNDÜRMEYİ KİLİTLE
Music,|,MÜZİK
SoundEffects,|,SES EFEKTLERİ
ShowStageTimer,|,SEVİYE ZAMANLAYICISINI GÖSTER
DeleteSaveFile,|,OYUN VERİSİNİ SIFIRLA
DeleteSaveWarning,|,SIFIRLA' SEÇENEĞİNİ SEÇMEK BU CİHAZDAKİ VE BULUTTAKİ OYUN KAYDINI SİLECEKTİR
DeleteSaveWarning2,|,İLERLEMENİ SİLMEK İSTEDİĞİNDEN EMİN MİSİN?*cr*crBU GERİ ALINAMAZ
Reset,|,SIFIRLA
Cancel,|,İPTAL
DeleteSaveDone,|,OYUN VERİSİ SIFIRLANDI
ResetAchs,|,BAŞARILARI SIFIRLA?
Privacy,|,GİZLİLİK
RewardedAds,|,ÖDÜLLÜ REKLAMLAR
CharSelectInfo,|,NOT! TÜM KARAKTERLER AYNI YETENEKLERE SAHİPTİR*cr*crOYUNU KAZANMAK İÇİN KUTUDAN KARAKTER AÇMANIZA GEREK YOK
Unbox,|,KUTUYU AÇ
UnboxAndRemoveAds,|,KUTUYU AÇ + POP-UP REKLAMLARI KALDIR*cr<M>+ ÖDÜLLÜ REKLAMLARI KALDIRMA SEÇENEĞİ
UnboxSpecial1,|,KUTUDAN BU KARAKTERİ ÇIKARMAK*comma DÜŞMANLARINDAN VE ÖDÜLLÜ REKLAMLARDAN KAZANDIĞIN PARAYI İKİYE KATLAR
UnboxSpecial2,|,KUTUDAN BU KARAKTERİ ÇIKARMAK*comma OYUN İÇİ PARALARLA KUTUDAN ÇIKARILABİLEN TÜM KARAKTERLERİN MALİYETİNİ YARIYA İNDİRİR
PurchaseFailed,|,SATINALMA YAPILMADI
RemoveAds,|,REKLAMLARI   KALDIR
RemoveAdsInfo,|,REKLAMLARI KALDIR*cr*crPOP-UP REKLAMLARI KALDIRIR VE ÖDÜLLÜ REKLAMLARI DEVRE DIŞI BIRAKMA SEÇENEĞİ EKLER
AdsRemoved,|,POP-UP REKLAMLAR KALDIRILDI!*cr*crAYRICA SEÇENEKLER MENÜSÜNDEN <L> ÖDÜLLÜ REKLAMLARI DEVRE DIŞI BIRAKMAYI YA DA ETKİNLEŞTİRMEYİ SEÇEBİLİRSİN*cr*crDESTEĞİN İÇİN TEŞEKKÜRLER!!
RestorePurchases,|,SATIN ALMALARI GERİ YÜKLE
Checking,|,KONTROL EDİLİYOR…
RequestTimedOut,|,İSTEK ZAMAN AŞIMINA UĞRADI
RestoreFailed,|,MAĞAZAYA BAĞLANILAMADI
RestoreFound,|,GERİ YÜKLEME BAŞARILI!
RestoreNoneFound,|,ÖNCEKİ SATIN ALMALAR BULUNAMADI
RestoreNoNew,|,ÖNCEKİ SATIN ALMALARIN ZATEN KİLİDİ AÇILDI
Collection,|,KOLEKSİYON:
Random,|,RASTGELE
IncludeInRandom,|,RASTGELE SEÇİME DAHİL ET
NotEnoughCoins,|,DAHA FAZLA PARA GEREKLİ!!
WatchAd,|,~X~ ALMAK İÇİN REKLAM İZLE
WatchAdAlt,|,REKLAM İZLE
WatchAdError,|,REKLAM OYNATILAMADI
AdSkipped,|,REKLAM BİTMEDİ
NotSignedIn,|,GİRİŞ YAPILMADI
Credits,|,KATKIDA BULUNANLAR
SelectLevel,|,SEVİYE*crSEÇ
TuteON,|,ÖĞRETİCİ
